#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz    dx2    tot
# NKPTS & NBANDS: 300  64
# Band-Index    1
   1.11756    -11.791871  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.12751    -11.795566  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.13746    -11.798590  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.14741    -11.800943  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.15737    -11.802624  0.040  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.16732    -11.803633  0.040  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.17727    -11.803967  0.040  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.17727    -11.803967  0.040  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.18722    -11.807586  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.19717    -11.817816  0.040  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.20713    -11.833232  0.040  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   1.21708    -11.852285  0.040  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.22703    -11.873714  0.042  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.23698    -11.896616  0.042  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.24693    -11.920374  0.042  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.25689    -11.944570  0.044  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.26684    -11.968920  0.046  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.27679    -11.993224  0.044  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.28674    -12.017344  0.044  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.29669    -12.041174  0.046  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   1.30664    -12.064641  0.046  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   1.31660    -12.087682  0.048  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.052
